Año;Album;Streams;Generos
2009;One More Love David Guetta;3288304738;['Dance/electrónica']
2009;The E.N.D. (The Energy Never Dies) Black Eyed Peas;3087011081;['Pop', 'Hip-hop/rap']
2009;Man On The Moon: The End Of Day Kid Cudi;3007076499;['Dance/Electrónica', 'Hip-hop/rap']
2009;The Time Of Our Lives Miley Cyrus;2898815286;['Pop']
2009;Lungs Florence + The Machine;2636288380;['Alternativa/independiente', 'Pop', 'UK R&B', 'UK Rap']
2010;Doo-Wops & Hooligans Bruno Mars;8836895099;['Pop', 'Rhythm and blues']
2010;Teenage Dream Katy Perry;7426655469;['Dance/Electrónica', 'Pop']
2010;Recovery Eminem;4699656635;['Hip-hop/rap']
2010;My Beautiful Dark Twisted Fantasy Kanye West;4287368290;['Hip-hop/rap']
2010;Loud Rihanna;4188312373;['R&B/Soul', 'Pop']
2011;21 Adele;7493158989;['Pop', 'Rhythm and blues', 'Soul', 'R&B contemporáneo']
2011;Take Care Drake;5248985573;['R&B/Soul', 'Hip-hop/rap']
2011;Nothing But The Beat David Guetta;4945525074;['Dance/Electrónica', 'Pop', 'Electrónica', 'Russian Dance']
2011;Christmas Michael Bublé;4292450846;['Estacional']
2011;Plus (+) Ed Sheeran;3995037918;['Alternativa/independiente', 'Pop', 'German Pop']
2012;Born To Die Lana Del Rey;8289318753;['Alternativa/independiente', 'Pop']
2012;Night Visions Imagine Dragons;7474237617;['Pop rock']
2012;Unorthodox Jukebox Bruno Mars;6485788863;['Reggae', 'R&B/Soul', 'Pop']
2012;Good Kid, M.A.A.D City Kendrick Lamar;5765676787;['Hip-hop/rap']
2012;Overexposed Maroon 5;5616595718;['Pop', 'Rock']
2013;AM Arctic Monkeys;10206282905;['Rock alternativo', 'Indie rock', 'R&B contemporáneo', 'Pop rock', 'Blues rock']
2013;Midnight Memories One Direction;4872924425;['Dance pop']
2013;I Love You. The Neighbourhood;4866221444;['Alternativa/independiente']
2013;True Avicii;4564715759;['Dance/Electrónica']
2013;Pure Heroine Lorde;4327682098;['Alternativa/independiente', 'Pop']
2014;Multiply (x) Ed Sheeran;10966001277;['Pop', 'German Pop', 'UK R&B']
2014;In The Lonely Hour Sam Smith;10361486253;['R&B/Soul', 'Clásica', 'Alternativa/independiente', 'Pop']
2014;1989 Taylor Swift;8491505731;['Synth pop']
2014;My Everything Ariana Grande;6861604115;['R&B/Soul', 'Pop']
2014;Hozier Hozier;6478917901;['Blues', 'Soul', 'Indie Rock']
2015;Purpose Justin Bieber;10557976750;['Pop', 'Dance/electrónica', 'Soul', 'R&B contemporáneo', 'Dance pop', 'Tropical house']
2015;Beauty Behind The Madness The Weeknd;9772778063;['R&B/Soul', 'Dance/Electrónica']
2015;Blurryface Twenty One Pilots;7462148539;['Reggae', 'Alternativa/independiente', 'Pop']
2015;25 Adele;7051872305;['Alternativa/independiente', 'Pop']
2015;Hamilton Lin-Manuel Miranda & Various Artists;6819967165;['Hip Hop', 'R&B', 'Pop']
2016;Starboy The Weeknd;15152427933;['R&B contemporáneo', 'Electropop', 'R&B/Soul', 'Pop', 'Reggae', 'Hip-hop/rap', 'Cantautor']
2016;Views Drake;10011741047;['R&B/Soul', 'Hip-hop/rap']
2016;Stoney Post Malone;9241536498;['R&B/Soul', 'Hip-hop/rap']
2016;Anti Rihanna;7460170379;['Alternativa/independiente', 'Pop', 'Hip-hop/rap']
2016;Illuminate Shawn Mendes;7295387804;['R&B/Soul', 'Pop']
2017;Divide (÷) Ed Sheeran;15323020727;['Pop']
2017;Dua Lipa Dua Lipa;12852757647;['Dance/Electrónica', 'Pop']
2017;Don't Smile At Me Billie Eilish;9970505546;['Alternativa/independiente', 'Pop']
2017;17 XXXTentacion;8929152487;['Rhythm and blues', 'Lo-fi', 'Rock alternativo', 'Hip hop lofi']
2017;Damn. Kendrick Lamar;8621977772;['Hip-hop/rap']
2018;Beerbongs & Bentleys Post Malone;12046850283;['R&B/Soul', 'Hip-hop/rap']
2018;? XXXTentacion;11188440264;['Hip-hop/rap']
2018;Scorpion Drake;10375008655;['R&B/Soul', 'Hip-hop/rap']
2018;Goodbye & Good Riddance Juice WRLD;9450330122;['Hip-hop/rap']
2018;Astroworld Travis Scott;9434301979;['Dance/Electrónica', 'Hip-hop/rap']
2019;Hollywood's Bleeding Post Malone;13278726012;['R&B/Soul', 'Pop', 'Hip-hop/rap']
2019;When We All Fall Asleep, Where Do We Go? Billie Eilish;11498199337;['Pop']
2019;Lover Taylor Swift;11341908986;['Pop']
2019;Fine Line Harry Styles;9716691468;['Pop rock']
2019;Divinely Uninspired To A Hellish Extent Lewis Capaldi;9106944832;['Alternativa/independiente', 'Pop']
2020;After Hours The Weeknd;13072041994;['R&B/Soul', 'Alternativa/independiente']
2020;Future Nostalgia Dua Lipa;12864136126;['Dance/Electrónica', 'Pop', 'UK R&B']
2020;YHLQMDLG Bad Bunny;10217500867;['Reguetón', 'Pop', 'Hip hop', 'Rhythm and blues', 'trap latino', 'reguetón alternativo']
2020;Folklore Taylor Swift;8793733474;['Rock alternativo', 'Indie folk', 'Indietrónica', 'Chamber pop']
2020;Shoot For The Stars, Aim For The Moon Pop Smoke;8057010293;['R&B/Soul', 'Afroswing', 'Hip-hop/rap']
2021;Sour Olivia Rodrigo;13299987680;['Pop', 'bedroom pop', 'Pop punk']
2021;Justice Justin Bieber;8490045825;['Pop']
2021;Planet Her Doja Cat;8132042435;['Pop', 'Hip hop', 'R&B contemporáneo']
2021;Equals (=) Ed Sheeran;6087040101;['Pop']
2021;Montero Lil Nas X;5912252786;['Hip hop', 'Electropop', 'Alternativa/independiente', 'Pop', 'Hip-hop/rap']
2022;Un Verano Sin Ti Bad Bunny;17671530034;['Reguetón', 'Cumbia', 'Indie pop']
2022;Midnights Taylor Swift;9723433449;['bedroom pop', 'Electropop', 'Synth pop', 'Dream pop']
2022;SOS SZA;9168843798;['R&B/Soul']
2022;Harry's House Harry Styles;8338027632;['Pop']
2022;Heroes & Villains Metro Boomin;5512600611;['Hip-hop/rap']
2023;Mañana Será Bonito Karol G;6417254621;['Reguetón', 'Pop latino']
2023;One Thing At A Time Morgan Wallen;5867198629;['Country']
2023;Génesis Peso Pluma;5029393185;['Regional mexicana']
2023;Utopia Travis Scott;4739308898;['Hip hop', 'Pop']
2023;Nadie Sabe Lo Que Va A Pasar Mañana Bad Bunny;4452620829;['Reguetón', 'drill', 'trap latino', 'Jersey club']
